iter	Passed	Remaining
0	8	8101
1	15	7899
2	23	7788
3	31	7840
4	39	7770
5	46	7702
6	53	7598
7	60	7513
8	67	7430
9	74	7383
10	81	7328
11	88	7279
12	95	7265
13	103	7255
14	110	7236
15	117	7237
16	125	7230
17	132	7246
18	140	7236
19	147	7240
20	155	7226
21	162	7209
22	169	7182
23	176	7187
24	184	7190
25	191	7175
26	200	7209
27	208	7230
28	216	7245
29	224	7263
30	232	7267
31	240	7267
32	249	7314
33	257	7311
34	265	7323
35	272	7309
36	280	7306
37	288	7292
38	295	7284
39	303	7284
40	311	7274
41	318	7259
42	326	7262
43	334	7258
44	341	7248
45	348	7235
46	356	7223
47	363	7212
48	370	7199
49	378	7186
50	385	7178
51	393	7172
52	400	7158
53	408	7151
54	415	7137
55	422	7129
56	430	7124
57	438	7117
58	445	7107
59	453	7104
60	461	7099
61	468	7094
62	476	7084
63	483	7075
64	491	7068
65	499	7067
66	507	7068
67	515	7071
68	524	7083
69	532	7077
70	540	7077
71	549	7082
72	557	7080
73	565	7072
74	573	7070
75	580	7061
76	588	7059
77	598	7073
78	605	7064
79	613	7058
80	621	7047
81	628	7031
82	635	7022
83	642	7011
84	649	6996
85	657	6988
86	664	6978
87	672	6973
88	680	6967
89	688	6957
90	696	6954
91	704	6952
92	712	6945
93	719	6938
94	728	6937
95	735	6930
96	743	6924
97	751	6915
98	759	6911
99	766	6901
100	774	6894
101	783	6895
102	791	6895
103	799	6889
104	808	6888
105	817	6892
106	825	6890
107	833	6886
108	842	6887
109	851	6888
110	859	6884
111	867	6880
112	875	6872
113	884	6870
114	892	6870
115	900	6865
116	908	6857
117	916	6849
118	924	6846
119	932	6838
120	940	6831
121	948	6826
122	956	6818
123	964	6813
124	972	6809
125	981	6808
126	989	6804
127	998	6799
128	1006	6794
129	1015	6793
130	1023	6792
131	1032	6789
132	1041	6787
133	1053	6807
134	1066	6830
135	1078	6849
136	1087	6847
137	1097	6852
138	1106	6853
139	1114	6847
140	1123	6845
141	1132	6841
142	1141	6840
143	1151	6843
144	1160	6840
145	1168	6835
146	1176	6826
147	1184	6820
148	1192	6812
149	1200	6804
150	1208	6794
151	1216	6786
152	1224	6776
153	1231	6766
154	1239	6759
155	1247	6750
156	1256	6744
157	1263	6733
158	1271	6723
159	1279	6715
160	1287	6708
161	1295	6699
162	1303	6691
163	1310	6680
164	1318	6671
165	1326	6662
166	1334	6655
167	1342	6647
168	1350	6642
169	1358	6634
170	1366	6625
171	1374	6618
172	1382	6610
173	1390	6602
174	1399	6597
175	1407	6590
176	1415	6582
177	1424	6578
178	1433	6573
179	1441	6568
180	1450	6561
181	1460	6564
182	1470	6564
183	1480	6565
184	1490	6566
185	1499	6561
186	1508	6558
187	1517	6555
188	1526	6548
189	1534	6541
190	1543	6537
191	1552	6532
192	1560	6525
193	1569	6521
194	1578	6516
195	1587	6510
196	1595	6502
197	1604	6498
198	1612	6491
199	1621	6484
200	1629	6478
